site,latitude,longitude,height,source
P099,39.2123189531,-118.1593546043,2455.6585,gage
P100,41.8567997602,-113.294219255,1883.46806,gage
P101,41.6922722746,-111.2360195425,2016.10783,gage
P102,39.9249200723,-115.5560107923,2718.07997,gage
P103,39.34514055,-113.042077,1491.3826,rtdb
P104,39.186083,-112.71712,1397.5703,rtdb
P105,39.3875423533,-112.5040918867,1431.4353,gage
P106,39.4589554705,-112.2623489902,1559.52756,gage
P107,35.1321794029,-107.8800230656,1991.64978,gage
P108,39.5888774086,-111.9445545782,1683.25811,gage
P109,39.5974844424,-111.6508362711,1760.95262,gage
P110,39.7152263772,-111.5711453632,2266.20295,gage
P111,41.8173187687,-113.0121604672,1366.22246,gage
P112,39.81690466,-111.4499996548,1930.3703,gage
P113,40.6713031007,-113.2780377157,1317.63108,gage
P114,40.6339840951,-112.5276333312,1352.3661,gage
P115,40.474421686,-112.4280009643,1641.98183,gage
P116,40.4340233467,-112.0142328218,2034.73643,gage
P117,40.4351626869,-111.7514273129,1628.95617,gage
P118,40.6354877501,-111.3498720515,2082.58046,gage
P119,40.7317842348,-111.2577342491,2045.38642,gage
P120,35.0074550518,-105.6260787902,2089.65161,gage
P121,41.803388,-112.69829,1452.4432,rtdb
P122,41.635361815,-112.331920075,1293.18865,gage
P123,36.6351705589,-105.9108498617,2411.18414,gage
P124,41.5575896935,-111.9573709397,1772.94272,gage
P125,41.589022,-111.898912,1522.112,rtdb
P126,41.5832432119,-111.7805442193,1871.7105,gage
P127,39.4992128851,-119.5999288824,1523.91106,gage
P128,39.4860973022,-119.0686448396,1319.98119,gage
P129,39.1338920937,-118.4496067731,1714.11159,gage
P130,39.2680339397,-118.9377630726,1380.05539,gage
P131,39.4546844101,-118.3512721148,1825.05245,gage
P132,38.7288424417,-118.0048724508,1549.68083,gage
P133,38.7246010394,-118.4602163155,1781.80395,gage
P134,38.980874639,-118.93041734,1885.96943,gage
P135,38.7046208294,-119.0153754281,1692.12488,gage
P136,38.7613662092,-119.4585306566,1773.2567,gage
P137,40.7797942244,-119.4767710013,1331.76329,gage
P138,40.2421769996,-119.0101688048,1243.70451,gage
P139,39.9081981436,-119.7224558969,1522.97542,gage
P140,38.8292343327,-120.6931991641,1079.21643,gage
P141,39.04663202,-120.38558847,2170.3364,shakealert
P142,39.1235323394,-119.8107217862,1784.92036,gage
P143,38.7601661128,-119.7648408849,1733.57679,gage
P144,39.4667030577,-120.8929905898,1436.84983,gage
P145,41.3576870094,-119.6243301366,1755.18016,gage
P146,39.3374629232,-120.5373045723,2347.27108,gage
P147,39.9373855123,-120.284418033,2488.88998,gage
P148,40.4185871276,-120.8059656474,1584.53611,gage
P149,39.6021290397,-120.1049794994,2634.66686,gage
P150,39.2923795085,-120.0338582135,2619.06694,gage
P151,40.288900528,-120.0772677116,1313.03612,gage
P154,41.8070819828,-123.3600535463,319.88716,gage
P155,41.2724342204,-123.1887897129,1784.07607,gage
P156,40.02444434,-123.90612366,488.9764,shakealert
P157,40.2475500417,-124.3080803519,695.80071,gage
P158,40.4224921399,-124.1072114425,873.70042,gage
P159,40.5047892221,-124.2827844383,608.18915,gage
P160,40.551253252,-124.1332737599,94.22724,gage
P161,40.637364088,-124.2130880242,32.40024,gage
P162,40.691095977,-124.237038404,-6.50111,gage
P163,40.2195734001,-124.0572955908,425.27173,gage
P164,40.1192568588,-123.6933460686,1148.30819,gage
P165,40.2455496444,-123.8532695656,545.65208,gage
P166,40.4351838738,-123.8628319207,665.28536,gage
P167,40.5437047948,-123.8801805054,1021.14199,gage
P168,40.6686379029,-123.881462761,1093.47369,gage
P169,40.7911452828,-123.9676550508,689.3913,gage
P170,40.8802324802,-123.8632841184,918.15129,gage
P171,36.4855278403,-121.7925267006,572.73433,gage
P172,36.2280779027,-121.7672528404,312.60623,gage
P173,35.9457199783,-121.2903417398,339.23326,gage
P174,36.3021548367,-121.0509068834,342.12115,gage
P175,36.4259058768,-121.1348652563,451.38679,gage
P176,37.4717752451,-122.3571471775,433.79927,gage
P177,37.5281706226,-122.4950593952,71.76921,gage
P178,37.5345213369,-122.3323712111,129.04147,gage
P179,42.0989712265,-123.6855743899,402.20176,gage
P180,36.2928356434,-121.4032466227,693.17991,gage
P181,37.9145470127,-122.3767620845,72.18929,gage
P182,38.4950177208,-123.1812527098,396.76851,gage
P183,38.3136662499,-123.0688945597,10.38065,gage
P184,39.1171677238,-123.7089450953,108.9343,gage
P185,39.2613060771,-123.749343357,146.33852,gage
P186,39.1501806221,-123.5181593873,372.80156,gage
P187,39.3524791177,-123.6025488506,164.00966,gage
P188,38.6678591096,-123.2295704138,208.8509,gage
P189,38.987450956,-123.348435999,176.93365,gage
P190,39.2419559968,-123.2040540859,202.82568,gage
P191,42.2753550917,-123.6322663114,371.39136,gage
P192,39.3197282141,-123.1051951545,259.72833,gage
P193,38.122939727,-122.908148505,66.57773,gage
P194,38.1857185135,-122.8162641289,235.10614,gage
P195,38.6646673448,-122.9593142436,146.80871,gage
P196,38.2981456628,-122.7426480449,90.50447,gage
P197,38.4285631579,-122.7673921865,0.00416,gage
P198,38.2598761456,-122.6074565739,-4.64499,gage
P199,38.2636932994,-122.5034444785,55.6199,gage
P200,38.2398325504,-122.451708127,-25.12566,gage
P201,38.5598068241,-122.6584398884,349.33485,gage
P202,38.4235816516,-122.4960060142,584.0713,gage
P203,38.8661130809,-122.9170107316,926.68614,gage
P204,38.6665006511,-122.7105390305,276.63001,gage
P205,39.3981237625,-122.9630703126,771.06882,gage
P206,38.7778174989,-122.575798664,283.57885,gage
P207,39.2600441165,-122.7185729195,1826.58382,gage
P208,39.109301078,-122.3038741437,74.28941,gage
P209,37.069248,-122.126698,577.69,rtdb
P210,36.8161405083,-121.7318501274,3.0302,gage
P211,36.8791787459,-121.6980457403,60.53728,gage
P212,36.9620133912,-121.8627413647,36.57289,gage
P213,37.2017149951,-121.9908435912,167.08512,gage
P214,37.0010226014,-121.796576248,73.26314,gage
P215,37.0487871861,-121.7629568157,708.58377,gage
P216,37.0024281141,-121.7262145435,336.91586,gage
P217,37.1044987977,-121.6506390275,72.29436,gage
P218,37.20351602,-121.71396636,82.7027,shakealert
P219,37.3424926902,-122.2848283359,300.87211,gage
P220,37.3298899101,-122.2142913876,705.24783,gage
P221,37.3369542506,-122.0990561714,155.29386,gage
