FourCharID,Lat,Long,Height
BOMG,33.3646287439,-115.7297070979,-84.20121
BOMR,19.870859,-155.112148,101.5
BP01,4.64091,-74.08026,2581.77037
BPKT,46,-120,592
BRAN,34.184896495,-118.2770549424,246.27027
BREW,48,-119,238
BRI2,37,-122,265
BRIB,37,-122,263
BRN3,49,-123,32
BRPK,34,-118,1729
BSRY,34.918612,-117.011993,613.5034
BTDM,34.292805,-118.188225,678.2617
BUEG,34.6128503416,-120.1964097403,74.76379
BURN,42.779501,-117.843529,1180.9083
BVPP,35.157276,-119.347506,123.0578
BYAH,-1.662702,29.264607,1595.57
BYSP,18.40787,-66.160921,86.6256
CABL,42.836099,-124.563346,37.8365
CACT,33.655135419,-115.9899515631,518.4782
CALN,-33.39800497915333,-70.53718433228143,897.2768299335586
CAND,35.939352,-120.433696,568.4022
CARH,35.888383,-120.43082,480.2654
CASE,33.45534,-117.40406,714
CAST,39.191022,-110.677313,2245.0406
CAT2,33.311616,-118.333815,477.2619
CAT3,33.4458,-118.483,3.92
CATH,46,-123,56
CAYA,17.048499996177526,-100.26730000505016,25.9299283910329
CAYU,42.9435472,-76.54035805,206
CBAA,-22.746367513393405,-68.4481489143935,3514.837928682806
CBHS,34.13856,-118.629804,284.621
CCCC,35.565312,-117.671172,813.9681
CCCS,33,-117,31
CCPW,46,-117,497
CCSN,-33.46317433439625,-70.66405134727796,581.1450356142192
CDAA,47,-116,692
CDLC,-22.189628490338112,-69.76152256591067,1999.2557467398722
CDMT,34.829467,-116.335931,936.5821
CEDA,40.680696,-112.860481,1472.4928
CEDR,47,-121,471
CGDM,34.24399,-117.96494,704.7019
CGIG,30.365130753166994,-107.977324108939,1512.153800642113
CGUA,-25.162622670071592,-69.59032435780468,2537.913127431088
CGUI,12.9763,-87.5587,750
CHAB,37.724115,-122.11931,213.9726
CHCM,48,-122,20
CHDA,-33.98897691964932,-70.60894281103845,668.7974298127662
CHEL,47,-119,345
CHEM,43,-121,1439
CHIL,34.3334244805,-118.0260034847,1567.53314
CHLW,49,-121,1
CHMS,34.640462,-117.827701,760.3272
CHOW,37,-120,46
CHRS,20.191949,-155.894755,98.5
CHWK,49,-122,174
CHZZ,45.486515,-123.978123,50.7526
CIOH,10.232728635,-75.724202246,12.521
CIRX,34.109553,-118.937294,488.2148
CIT1,34.1367106822,-118.1272898699,215.36302
CJMG,34.2711959694,-117.4244653843,1584.41184
CJMS,34.3138006283,-117.4793865809,933.37925
CJVG,34.530321,-118.144232,1304.8
CLAR,34.10992817,-117.70880994,373.6266
CLBD,33.13538566,-117.310976,20.6124
CLGO,64.873774,-147.860487,196.1069
CLGX,64.873774,-147.860487,196.1069
CLL1,-36.595074982541476,-72.07996456081133,153.98827015460492
CLOV,40.55834,-114.87418,2126
CLRS,48,-124,175
CMBA,-31.18819473547944,-70.99897460012566,963.4604409679529
CMBB,38,-120,695
CMP9,34.3531817402,-118.4114290634,1138.04179
CN00,17.66852,-61.78558,-21.9819
CN01,17.04901,-61.75914,17.401
CN03,18.49047,-64.40222,303.1614
CN04,14.023571,-60.973898,24.139
CN05,18.563945,-68.359389,-28.292
CN06,18.789817,-70.656117,2228
CN07,19.75763084,-70.56585126,-32.2461
CN08,17.90337338,-71.6740682,-17.1169
CN09,19.6877,-72.1396,30
CN10,17.41519,-75.97055,-16.3245
CN11,17.0211799,-77.7841177,-10.7123
CN12,18.00448173,-76.7490521,169.902
CN13,24.06509,-74.53369,5
CN14,20.97535,-73.67796,5
CN15,26.55665578,-78.6930835,-27.5547
CN18,17.40759,-83.944381,7
CN19,12.611829,-70.048497,4.63
CN20,9.351737,-82.256249,24.72
CN21,13.402756,-87.427101,21.706
CN22,12.38409,-87.04469,28.8428
CN23,17.26061,-88.77876,55.1864
CN24,19.57563,-88.05392,16
CN25,16.23206,-92.13531,1597
CN26,22.382999,-89.682384,-10.067
CN27,19.66714,-69.93981,-21.1236
CN28,8.625078,-79.033712,28.694
CN29,14.04879667,-83.37463794,30.3025
CN30,11.99355131,-83.7720486,30.0339
CN33,8.48723951,-80.3266679,76.7982
CN34,8.548918,-78.014763,86.247
CN35,13.3755,-81.36292,47.84505
CN36,8.81965,-75.82113,15.3086
CN37,10.79258,-75.26317,1.44365
CN38,12.22182,-71.98803,10.44833
CN40,12.18004359,-68.9580146,33.3093
CN44,11.000453,-63.910301,837.853
CN45,10.837017,-60.938275,33.2
CN46,12.486845,-61.427088,21
CN47,13.71083,-60.940486,187.33
CN48,15.438899,-61.421659,285.7
CN53,21.7826,-72.2536,-11.506
CN55,8.243270989,-80.53933636,45.994
CN57,10.837114,-60.938327,33.2
CN58,18.58659,-63.4265,10
CN59,18.20662592,-63.0538521,11.138
CN60,8.62722,-79.0341,30
CN62,16.790254,-62.193977,146
CNC0,21.1744,-86.8208,-3
CNCR,48,-121,56
CNG2,12.50117,-86.69933,514
CNPP,33.857632,-117.608918,300.3139
COAG,32.863464044,-115.1233476396,3.64202
COBO,45,-122,46
COKG,32.8505138365,-115.7285031129,-46.88752
COLV,48,-117,491
COND,45,-120,865
CONS,-35.33095656912197,-72.41217205152753,39.78907034451905
COON,40.652591,-112.121011,1609.9923
COPR,34.414907,-119.879524,-22.8373
CORO,9.32809,-75.28785,155.7873
CORV,44.585535,-123.304604,105.6205
COSO,35.9823435442,-117.8088927738,1455.13371
COTD,33.732487,-116.386892,27.6
COUG,46,-122,151
COUP,48,-122,23
CPBN,35.071734,-117.573023,835.8403
CPXF,46,-122,533
CPXX,46.84,-122.26,533.7
CRBT,35.79161,-120.750753,205.444
CRCN,36,-119,28
CRFP,34.0390532931,-117.0996860634,688.82992
CRGG,35.2420919536,-119.7248247438,1173.08948
CRHS,33.823503,-118.272765,-23.5225
CRIG,16.73632878141324,-99.13118087383066,88.36058421000772
CRLR,18.416686,-68.936905,-5.56
CROK,46,-122,1
CROW,37,-121,3
CRRS,33.069807,-115.73504,-81.9018
CRU1,34.029259,-119.78481,702.1957
CSCI,34.168402,-119.038979,70.8649
CSDH,33.8614799204,-118.2567221175,-9.13548
CSHR,46.87071886,-121.732422,2881.9853
CSIG,26.836166270745935,-108.37116026997028,166.690899515269
CSKI,47,-122,10
CSN1,34.253552288,-118.5238165452,261.44712
CSOM,-52.78080719723641,-69.22405220187541,84.7232965209015
CSST,34.40809,-119.371248,162.5127
CTDM,34.516549,-118.613209,406.0799
CTMS,34.124101,-116.370425,966.4896
CUGR,46,-122,153
CUHS,34.9426484418,-119.6739525786,634.9794
CUPR,18.307446,-65.28253,-34.576
CUSH,47,-123,217
CVHS,34.0820130851,-117.9017217896,119.09652
CYTE,37,-121,82
DAM2,34.3348375362,-118.3968688369,583.43233
DAM3,34.333992,-118.397471,580
DDSN,43.118791,-123.244241,953.1111
DEEJ,47,-123,103
DEMA,20.300371572809325,-99.03536922053748,1984.1492241357037
DESC,32,-116,957
DEVT,40.06114,-105.2058,1570.835
DGF1,-33.457280874722734,-70.6617198546314,581.3392306094994
DHLG,33,-115,-83
DIAB,37,-121,990
DICA,11.04014,-74.82362,-4.15837
DIXN,38.46871518,-121.828643,-9.145
DLNO,35,-119,63
DLUZ,33.43058697,-117.30722,212.7266
DMND,48,-117,718
DOAR,17.021137820420464,-99.65074733674261,223.71309523050826
DOND,37,-119,665
DONO,36,-119,1187
DRAO,49,-119,541
DSHS,34.02393,-118.34854,-2.1049
DSME,33,-117,56
DSSC,33.733331,-116.712089,1660.8776
DTPG,35.2674649454,-117.8458785785,910.26198
DUBP,37,-121,201
DVPB,34.413413,-117.860132,1430.9
DVPT,47,-118,727
DYH2,33.938315,-118.127463,10.8
EBMD,37,-122,-15
EBRD,1.98931,-77.10109,638.2676
ECFS,33.647683,-117.411693,801.4202
ECHO,37.915534,-114.264247,1684.1091
ECSD,43.733692,-96.613996,445.301
EDPP,34.946194,-118.830408,379.8356
EGAN,39.345244,-114.938854,1998.271
ELIZ,49,-127,164
ELKO,40.91469,-115.817198,2016.8904
ELLY,33.58345,-118.1285,36.4
ELSC,34.02973388,-118.20843391,61.1647
ELSG,33.649142526,-117.4260234762,811.35618
ELSR,47,-122,115
ENTR,45,-117,1127
ENUM,47,-121,227
EOCG,34.4508483291,-119.7697798182,42.47197
EOUT,41.253197,-111.928908,1677.849
EPHR,47,-119,375
ERL2,19.85229,-155.926809,30.5
ERRG,33.1164462192,-115.822734491,-92.37046
ESRS,34.073662,-106.918873,-106.918873
ESRX,34.073662,-106.918873,1416.3
EUCH,44.83475,-123.870806,719.9
EWPP,34.104198,-117.525584,330.4835
EXU0,23.564,-75.873,-12
EYAC,60.548703845,-145.749857661,146.0604
EYC2,60.548751583,-145.750117361,135.99
FARB,37,-123,-21
FARI,37,-123,-20
FBAQ,-20.13463236766438,-69.75541971202904,1098.3744708003098
FCTF,34.066589682,-118.4421339493,149.3408
FERN,35.341872,-112.454737,1767.9155
FGST,34.733009,-120.00938,904.0864
FHOG,34.09354729,-116.9358711316,1588.68972
FLNT,36,-121,44
FMTP,34.4098663513,-118.8941478956,362.79139
FMVT,34.356335,-118.88403,617.0158
FOOT,39.369397,-113.805373,1547.381
FORE,40.51189,-111.38031,1795
FOXG,34.7339127343,-118.2405017315,688.7929
FRED,36.988332,-112.499217,1529.7343
FSHB,32.9449893776,-115.7999436348,135.02174
FUTF,-43.1905392796523,-71.84839541589815,381.8570611997092
FVPK,33,-117,-11
FWBD,44,-117,631
FZHS,34.8001947016,-118.8933845149,1273.74497
GARL,40.416527,-119.355457,1640.2266
GASB,39,-122,1361
GDEC,35.1894170425,-119.8636851707,566.26801
GERD,16.7948384358,-62.1942984852,123.40636
GHRP,34.2038907016,-117.3978984536,628.60888
GLDR,49,-126,-10
GLRS,33.274813,-115.521371,-48.6496
GLWD,46,-121,561
GMAG,34.2914346628,-116.382567488,866.75526
GMPK,33.051085,-114.827345,591.1902
GMRC,34.783998,-115.660229,1298.2136
GNPS,34.308556,-114.18945,232.379
GOBS,45.838819,-120.814676,621.4879
GOGA,33.414741,-83.473218,123.91
GOLD,35,-116,986
GOLY,45,-120,500
GOSH,40.640169,-114.179698,1560.1887
GOUT,39.9133,-111.8954,1514
GR8R,36.399011,-120.415716,206.606
GRCK,48,-117,670
GRE0,12.2217,-61.6404,20
GRMD,46,-123,31
GRNX,63.8355,-148.978192,594.4125
GTA1,-20.56568903989829,-70.18073720332492,107.71319711485792
GTK0,21.432815,-71.14463,-30.703
GTPS,42,-123,278
GTRG,43.244092,-113.241213,1539.1513
GUAP,2.57448,-77.89468,23.56262
GUAX,28.8834071913889,-118.289679133333,43.274
GVRS,34.0474487893,-118.1128984982,154.51111
HAHD,47,-121,854
HALF,44,-117,783
HAR7,35.0115409773,-117.2992135747,590.37402
HBCO,33.7836483973,-118.2857994795,-26.86335
HCES,36.332605,-89.171767,77.9913
HCMN,34.754774,-116.430075,568.7612
HCRO,40.815917,-121.469898,1000.104
HDIL,40.555878,-89.293981,201.064
HELB,36,-119,1105
HELP,36,-119,1120
HIVI,34.76,-117.8,930.88
HLID,43.562581,-114.414045,1769.7075
HLN2,-35.0098916722027,-71.9301851367705,75.61969536755193
HLPN,-36.747826345818645,-73.19025651541699,69.93437075490483
HLSY,44,-123,78
HMTG,33.7080976515,-117.0015050338,577.03295
HNPS,33.705006,-115.635335,393.9484
HOGS,35.866714,-120.479495,762.8554
HOL3,34.4581565159,-117.8451303581,1239.43883
HOLB,50,-128,559
HOLP,33.924541,-118.168176,-6.8
HOPB,38,-123,353
HOPL,38,-123,353
HPIG,26.936782672468365,-105.66399305907302,1766.948086728361
HUNT,35.880811,-120.402383,449.3323
HVWY,44.613601,-110.535962,2406.8178
HVYS,34.44123,-119.18754,373.9685
HWUT,41.607240885,-111.565115452,1715.0735
I40A,34.727325,-115.911448,765.3135
IDOG,33.7967980798,-116.2215158333,434.94972
IDQG,33.7679737548,-116.2389863627,-1.30126
IGUA,18.391967885525425,-99.50240666665046,929.3973375836615
IID2,32.706169,-115.031803,9.812
IMPS,34.157563,-115.1451,563.25
IND1,9.8647,-85.5022,79
INRI,4.90859,-75.89718,931.71742
INSJ,5.0316,-75.85438,979.19837
INTO,4.64222,-76.04278,1015.92239
IQQE,-20.273547820198225,-70.13171258855121,39.46277237799764
IRID,40.1782,-105.0891,1507
ISCO,5.54434309,-87.055831,10.3847
ISGN,34.932189,-4.548291,1640
ISLK,35.662271,-118.4743,823.3664
IWAW,-1.934605,29.147255,1516
JAS1,32,-116,97
JASR,37,-122,93
JCT1,30.479407,-99.801075,571.8277
JEFF,19.942376719,-155.863980353,31.05
JFWS,42.91426,-90.2481,294.688
JLN5,35,-120,141
JME2,18.235022,-72.538436,6.6
JNHG,34.44906515,-117.9554411622,1276.18457
JOBO,48,-122,-11
JPLM,34,-118,424
JRSC,37,-122,144
KAEO,21.215422,-157.226747,170.155
KANZ,-1.646348,29.378114,2300
KBRC,34.398527,-119.008196,370.5034
KENI,46,-119,146
KKAI,19.065899,-155.799029,411.945
KKN4,27.800733,85.278804,1896
KLTS,46,-118,257
KMBR,-1.827366,29.292592,1473
KOOT,47,-116,686
KSU1,39.100744,-96.609471,326.621
KTBW,47.54732,-122.795418,491.5781
KTMT,54,-128,90
KUAH,19.051218,-155.57656,206.221
KUGE,27.61842,85.53854,1511
KVTX,27.545946,-97.892874,-1.271
KYVW,33,-116,1498
L134,40.061278944,-105.2062111667,1573.264
LAB1,1.85524,-76.09157,1311.60495
LACR,40.85072,-115.70376,1666
LAND,35.89979,-120.473283,568.5613
LAPC,34.181921,-118.574649,207.8148
LBC1,33.83207018,-118.13718458,-21.9426
LBC2,33.791611503,-118.1732466558,-28.42686
LBCH,33.7877725577,-118.2033483868,-27.55603
LCRS,46,-117,441
LCSO,44,-123,88
LDES,34.267339,-116.432803,978.0673
LDSW,34.699427,-116.209142,640.944
LEDE,1.56647,-76.95106,2784.65026
LEE2,34.1346,-118.3218,484.873
LEEP,34,-118,485
LEMA,36,-119,35
LEME,12.42748,-86.90963,78
LEWI,40.403513,-116.861873,2916.6946
LFLO,43,-124,-6
LFRS,34.09507,-118.412824,146.9124
LGWD,33.64089675,-117.76445349,88.864
LINH,47,-120,472
LINJ,34.6620231505,-118.139204115,721.24008
LJRN,34.8075247711,-118.8677447275,1422.47362
LKCP,47.94438,-121.830853,178.3064
LKHG,33.2360072077,-116.7587675596,823.30129
LKWY,44.565076,-110.40022,2424.3976
LL01,34.4854593201,-117.8349590439,1005.32939
LLAS,34.5859762487,-117.837934608,812.49694
LMHG,33.7442016556,-117.391286667,464.5423
LMID,46,-120,212
LMNL,10.26752,-85.05331,100
LMSG,33.81741,-117.44507,412.97
LMUT,40.2614203,-111.928314,2311.989
LNDC,36,-119,144
LNIG,24.898143692216944,-99.46557934038668,275.77207793842314
LNMT,35.090202,-116.939652,1345.3171
LOMP,34.6909231688,-120.4465841223,63.56632
LONG,34.1119017065,-118.0034149122,74.3101
LORS,34.133326,-117.754069,448.9042
LOWS,35.828709,-120.594283,428.6658
LOZ1,44.619707,-74.582932,443.9172
LPCG,34.3148647883,-117.5463667233,1315.29394
LPHS,34.026771417,-117.9567248021,68.50565
LPIG,24.100996651654366,-110.309286830889,16.376497828200844
LPSB,44,-123,117
LRRG,34.5270603616,-118.0299911482,875.02765
LSIG,47,-121,527
LTAH,47,-117,736
LTUT,41.592099,-112.246838,1564.946
LUTZ,37,-121,94
LVEG,19.222749,-70.531087,125
LVFP,17.9811,-67.0082,-19.311
LVLP,18.014868,-66.980141,-35.407
LVMS,34.7336073089,-119.1036903729,1543.09421
LWCK,46,-124,39
LWST,46,-117,427
MAHU,20.191949,-155.894755,98.5
MAKA,6.33668,-72.66202,1632.1215
MANA,12.1489369,-86.248994,71.04
MASW,35.832596,-120.443058,713.741
MAT2,33.85676,-117.436697,398.3213
MAWY,44.973428,-110.689301,1824.2557
MBAK,48,-121,1288
MBGP,17.93599,-66.936766,5.331
MBIG,32.408911849816704,-115.19598961955124,-21.455445606228576
MCCM,38,-122,-3
MCIG,27.877051513437547,-101.4837026262046,458.6567887686264
MCLM,38,-122,703
MDMT,42.418341,-121.221601,1710.544
MDRS,44,-121,735
MEE1,36.186903,-120.758601,788.7707
MEE2,36.180523,-120.766845,681.4367
MGRB,48,-124,852
MHC2,37,-121,1261
MHCB,37,-121,1261
MHDL,37,-122,65
MHLD,37,-122,65
MIDA,35.921912,-120.45883,570.6897
MIG1,34.038258,-120.35139,130.9455
MILK,34.1368335042,-118.1262601633,243.30118
MILP,37,-121,334
MINE,40.148366,-116.095512,2075.6451
MIPR,17.886255,-66.526682,-7.7769
MJPK,33,-117,1527
MKAH,48,-124,23
MLAN,19.942376719,-155.863980353,31.05
MLFP,33.918403,-117.317957,472.9814
MLKE,47,-119,314
MNMC,35.969471,-120.434051,1061.9216
MNRC,38,-122,707
MODB,41,-120,1567
MOIL,40.7107,-115.41208,2197
MOM0,12.406096,-86.540878,395.665
MONB,37,-121,750
MONP,32,-116,1842
MONT,46,-123,8
MOPR,18.076904,-67.931154,-38.3
MORA,8.95891,-73.68301,62.35219
MOUM,37,-121,965
MPUT,40.015599,-111.633629,1829.1684
MPWD,34.295511,-118.878015,190.2577
MRIB,49,-123,-7
MRSH,38,-122,155
